sample_id	portion_id	month_of_creation	is_ffpe	weight	year_of_creation	LCE	bcr_portion_barcode	bcr_portion_uuid	portion_sequence	day_of_creation	portion_number
TCGA-EJ-7797-01A	TCGA-EJ-7797-01A-11	12	NO	26	2011		TCGA-EJ-7797-01A-11	9c92cbba-46ce-4750-88e6-33fa653c30ed		14	11
TCGA-EJ-A7NH-01A	TCGA-EJ-A7NH-01A-12	9	NO	30	2013		TCGA-EJ-A7NH-01A-12	931C9A95-34DB-45E5-B7A1-1761A3D75EA9	1	16	12
TCGA-KC-A4BO-10A	TCGA-KC-A4BO-10A-01	9	NO		2012		TCGA-KC-A4BO-10A-01	C7742A93-5DB2-4A2C-B438-1C626B2C02E2	1	21	1
TCGA-YL-A8SL-01B	TCGA-YL-A8SL-01B-21	1	NO	30	2014		TCGA-YL-A8SL-01B-21	5FD671CA-266C-45C9-9029-B0931B23B5CF		21	21
TCGA-V1-A8MJ-10A	TCGA-V1-A8MJ-10A-01	1	NO	2	2014		TCGA-V1-A8MJ-10A-01	1EE27614-C697-4720-82FD-64334F961BF3		6	1
TCGA-KK-A8I8-11A	TCGA-KK-A8I8-11A-11	11	NO	30	2013		TCGA-KK-A8I8-11A-11	8DE6C95D-4349-4D53-B8AF-3FDA0526E213	1	25	11
TCGA-YL-A8HJ-01A	TCGA-YL-A8HJ-01A-11	12	NO	30	2013		TCGA-YL-A8HJ-01A-11	9AFB4306-A6D5-4CA0-8F6B-EFB470E624EF	1	12	11
TCGA-VP-A87B-10A	TCGA-VP-A87B-10A-01	11	NO	2	2013		TCGA-VP-A87B-10A-01	6EA08AC9-F1BA-45D1-B663-8B636CE5A4DD	1	22	1
TCGA-J9-A8CN-10A	TCGA-J9-A8CN-10A-01	11	NO	2	2013		TCGA-J9-A8CN-10A-01	E826B5C9-6940-4672-931E-4AD976D39C60	1	22	1
TCGA-G9-6348-11A	TCGA-G9-6348-11A-01	3	NO	40	2011		TCGA-G9-6348-11A-01	f0880036-34d1-423b-8f12-43d3e8e5706b		18	1
TCGA-VN-A88P-10A	TCGA-VN-A88P-10A-01	11	NO	2	2013		TCGA-VN-A88P-10A-01	173AAAB9-8761-447E-985B-A60E9F9E81BB	1	18	1
TCGA-M7-A720-10A	TCGA-M7-A720-10A-01	7	NO		2013		TCGA-M7-A720-10A-01	09C52762-D082-4BDE-990E-5DB6E8647210	1	31	1
TCGA-J4-AAU2-10A	TCGA-J4-AAU2-10A-01	2	NO	2	2014		TCGA-J4-AAU2-10A-01	8E5A19E7-FC39-4DB1-A54E-EEE93EB7DC5C		24	1
TCGA-CH-5789-10A	TCGA-CH-5789-10A-01	1	NO		2011		TCGA-CH-5789-10A-01	f819c9d7-7609-49fa-9314-f82f45fb8934		26	1
TCGA-X4-A8KS-01A	TCGA-X4-A8KS-01A-12	12	NO	30	2013		TCGA-X4-A8KS-01A-12	86DD39C6-155F-450A-AC6D-0A04BE95885D	1	2	12
TCGA-FC-A5OB-01A	TCGA-FC-A5OB-01A-11	2	NO	30	2013		TCGA-FC-A5OB-01A-11	AB384C06-FF1E-4264-B159-D6CE574737A7	1	19	11
TCGA-J4-A67Q-01A	TCGA-J4-A67Q-01A-21	5	NO	30	2013		TCGA-J4-A67Q-01A-21	C1D09A1A-A40E-4844-91B3-D9A747EF647D	2	6	21
TCGA-XJ-A83F-01A	TCGA-XJ-A83F-01A-11	11	NO	20	2013		TCGA-XJ-A83F-01A-11	8DB05502-A128-4D01-B301-31C4D64FC31A	1	8	11
TCGA-VP-A87B-01A	TCGA-VP-A87B-01A-11	11	NO	30	2013		TCGA-VP-A87B-01A-11	D734B8A2-D0D1-4591-8C94-ED70A0C1FBA0	1	4	11
TCGA-XJ-A9DQ-10A	TCGA-XJ-A9DQ-10A-01	1	NO		2014		TCGA-XJ-A9DQ-10A-01	81FC8BDB-67DA-474B-B186-7B2DD6C70A96		9	1
TCGA-ZG-A9MC-10A	TCGA-ZG-A9MC-10A-01	2	NO		2014		TCGA-ZG-A9MC-10A-01	CED49694-55E6-4A68-A6E2-ACA789F14D77		21	1
TCGA-J4-AATV-10A	TCGA-J4-AATV-10A-01	2	NO	2	2014		TCGA-J4-AATV-10A-01	E7E4459F-1061-4E50-89A1-266E195E4AB7		24	1
TCGA-G9-6363-10A	TCGA-G9-6363-10A-01	3	NO		2011		TCGA-G9-6363-10A-01	96b0a77b-1e65-4a4f-b294-34987b7b890e		11	1
TCGA-KK-A8II-01A	TCGA-KK-A8II-01A-11	11	NO	30	2013		TCGA-KK-A8II-01A-11	E6157D2D-44B1-4A43-8372-40E5E5752E95	1	27	11
TCGA-EJ-7789-01A	TCGA-EJ-7789-01A-11	11	NO	34	2011		TCGA-EJ-7789-01A-11	d4642a3e-45dc-4822-b2f5-74ab626e3cdf		17	11
TCGA-XK-AAK1-10A	TCGA-XK-AAK1-10A-01	2	NO	2	2014		TCGA-XK-AAK1-10A-01	791C41B0-2776-42AA-A995-4A8894CB7A72		14	1
TCGA-HC-7749-10A	TCGA-HC-7749-10A-01	11	NO		2011		TCGA-HC-7749-10A-01	8d80ab88-5a20-4313-a3da-3cd87d649a86		22	1
TCGA-QU-A6IM-01A	TCGA-QU-A6IM-01A-11	6	NO	20	2013		TCGA-QU-A6IM-01A-11	7207FAEA-B207-400E-8EA1-271C0C0122AF	1	17	11
TCGA-HC-7078-10A	TCGA-HC-7078-10A-01	8	NO		2011		TCGA-HC-7078-10A-01	cd58695a-a32a-4d02-bcfa-0419f1861641		17	1
TCGA-HC-A48F-10A	TCGA-HC-A48F-10A-01	9	NO	2	2012		TCGA-HC-A48F-10A-01	2A647FBB-0CA4-4350-BF9E-7D0C81529520	1	18	1
TCGA-EJ-7786-01A	TCGA-EJ-7786-01A-11	11	NO	35	2011		TCGA-EJ-7786-01A-11	dcfaf7bd-910b-47a9-9575-0a1f64be867e		17	11
TCGA-FC-7708-10A	TCGA-FC-7708-10A-01	12	NO		2011		TCGA-FC-7708-10A-01	9450dfa6-16e0-4352-a415-c11c63890d2e		5	1
TCGA-EJ-A7NG-01A	TCGA-EJ-A7NG-01A-31	9	NO	30	2013		TCGA-EJ-A7NG-01A-31	5C605800-D5C8-4660-A9F6-8A3B5BCDBB00	3	24	31
TCGA-G9-A9S4-01A	TCGA-G9-A9S4-01A-11	4	NO	30	2014		TCGA-G9-A9S4-01A-11	600189B2-3240-47A3-A91F-4D8AEDEFC790		1	11
TCGA-HC-7231-10A	TCGA-HC-7231-10A-01	9	NO		2011		TCGA-HC-7231-10A-01	738b4e57-9652-40eb-84de-a2ff128a21a6		2	1
